Title,Year Published,Min Players,Max Players,Playing Time,Age Minimum,Number of Accessories,Number of Ratings,Average Rating,Bayes Rating,Standard Deviation,Average USD Price,Age (Years),Time Category,AgeRating,GroupSize
Brass: Birmingham,2018,2,4,120,14,15,41589,8.60841,8.42243,1.41849,144.33428571428573,5,Long,Teen,Small
Pandemic Legacy: Season 1,2015,2,4,60,13,1,51789,8.53305,8.38673,1.60207,54.64178571428572,8,Short,Teen,Small
Gloomhaven,2017,1,4,120,14,55,60064,8.60914,8.37477,1.74605,127.09821428571429,6,Long,Teen,Small
Ark Nova,2021,1,4,150,14,13,36307,8.53318,8.31867,1.37819,63.21214285714286,2,Long,Teen,Small
Twilight Imperium: Fourth Edition,2017,3,6,480,14,18,21980,8.61092,8.24098,1.61959,131.5155172413793,6,Marathon,Teen,Large
Terraforming Mars,2016,1,5,120,12,48,93542,8.36728,8.2226,1.41655,68.22367346938776,7,Long,PreTeen,Large
Dune: Imperium,2020,1,4,120,14,18,39007,8.42285,8.20508,1.27086,75.49592592592593,3,Long,Teen,Small
Gloomhaven: Jaws of the Lion,2020,1,4,120,14,14,31277,8.47494,8.19093,1.47589,29.417058823529413,3,Long,Teen,Small
War of the Ring: Second Edition,2011,2,4,180,13,8,19983,8.53471,8.17875,1.47925,370.0421739130434,12,Long,Teen,Small
Star Wars: Rebellion,2016,2,4,240,14,11,30937,8.4191,8.16951,1.36632,89.27181818181818,7,Very Long,Teen,Small
Spirit Island,2017,1,4,120,13,26,47136,8.35053,8.14961,1.50304,83.89975,6,Long,Teen,Small
Gaia Project,2017,1,4,150,12,9,25667,8.39565,8.13064,1.40828,68.57576923076923,6,Long,PreTeen,Small
Twilight Struggle,2005,2,2,180,13,5,47533,8.2517,8.0771,1.57953,77.30175675675675,18,Long,Teen,Small
Through the Ages: A New Story of Civilization,2015,2,4,120,14,6,30466,8.30445,8.07527,1.51783,45.531063829787236,8,Long,Teen,Small
Great Western Trail,2016,2,4,150,12,19,39467,8.21534,8.05091,1.30608,45.98463768115942,7,Long,PreTeen,Small
The Castles of Burgundy,2011,2,4,90,12,9,59565,8.13274,8.0079,1.24277,29.571428571428573,12,Moderate,PreTeen,Small
Scythe,2016,1,5,115,14,47,79443,8.15935,8.00671,1.44472,148.3417894736842,7,Long,Teen,Large
7 Wonders Duel,2015,2,2,30,10,21,88805,8.09617,7.9724,1.19173,21.78457142857143,8,Quick,PreTeen,Small
Eclipse: Second Dawn for the Galaxy,2020,2,6,200,14,6,11939,8.48449,7.96889,1.3674,243.0,3,Very Long,Teen,Large
Brass: Lancashire,2007,2,4,120,14,9,24086,8.19018,7.96361,1.37032,62.60847457627118,16,Long,Teen,Small
Nemesis,2018,1,5,180,12,19,28069,8.28247,7.95882,1.51858,222.85571428571424,5,Long,PreTeen,Large
Concordia,2013,2,5,100,13,9,38702,8.09835,7.94877,1.19651,62.09,10,Long,Teen,Large
A Feast for Odin,2016,1,4,120,12,12,26722,8.17856,7.94869,1.36461,94.399,7,Long,PreTeen,Small
Clank! Legacy: Acquisitions Incorporated,2019,2,4,120,13,0,8641,8.5603,7.94745,1.41977,87.0,4,Long,Teen,Small
Wingspan,2019,1,5,70,10,53,84989,8.06446,7.91649,1.35541,58.38869565217391,4,Moderate,PreTeen,Large
Terra Mystica,2012,2,5,150,12,18,46762,8.07604,7.91243,1.47197,52.64387096774194,11,Long,PreTeen,Large
Arkham Horror: The Card Game,2016,1,2,120,14,39,41202,8.13692,7.90712,1.53904,75.4380303030303,7,Long,Teen,Small
Lost Ruins of Arnak,2020,1,4,120,12,25,38934,8.07989,7.89412,1.23196,44.551162790697674,3,Long,PreTeen,Small
Root,2018,2,4,90,10,24,46837,8.07572,7.88402,1.45627,88.6587234042553,5,Moderate,PreTeen,Small
